COMMAND   PID           USER   FD      TYPE             DEVICE  SIZE/OFF                NODE NAME
Electron 2697 study_superior  cwd       DIR               1,14      2528            27408592 /Users/study_superior/Desktop/Code/LingxiAgent
Electron 2697 study_superior  txt       REG               1,14     33968            70257077 /Users/study_superior/Desktop/Code/LingxiAgent/node_modules/electron/dist/Electron.app/Contents/MacOS/Electron
Electron 2697 study_superior  txt       REG               1,14    145008            70257321 /Users/study_superior/Desktop/Code/LingxiAgent/node_modules/electron/dist/Electron.app/Contents/Frameworks/Squirrel.framework/Versions/A/Squirrel
Electron 2697 study_superior  txt       REG               1,14    126448            70257322 /Users/study_superior/Desktop/Code/LingxiAgent/node_modules/electron/dist/Electron.app/Contents/Frameworks/Mantle.framework/Versions/A/Mantle
Electron 2697 study_superior  txt       REG               1,14     77368            87595210 /private/var/db/diagnostics/logd/.plist-cache.ufRkAW5n
Electron 2697 study_superior  txt       REG               1,14    352544            70257318 /Users/study_superior/Desktop/Code/LingxiAgent/node_modules/electron/dist/Electron.app/Contents/Frameworks/ReactiveObjC.framework/Versions/A/ReactiveObjC
Electron 2697 study_superior  txt       REG               1,14       119 1152921500312109405 /System/Library/CoreServices/SystemVersion.bundle/zh_CN.lproj/SystemVersion.strings
Electron 2697 study_superior  txt       REG               1,14    234224            17269435 /private/var/db/timezone/tz/2026c.1.0/icutz/icutz44l.dat
Electron 2697 study_superior  txt       REG               1,14    163746            99013975 /private/var/db/analyticsd/events.allowlist
Electron 2697 study_superior  txt       REG               1,14   4129840 1152921500312609216 /usr/lib/dyld
Electron 2697 study_superior  txt       REG               1,14    721176            70257209 /Users/study_superior/Desktop/Code/LingxiAgent/node_modules/electron/dist/Electron.app/Contents/Frameworks/Electron Framework.framework/Versions/A/Resources/v8_context_snapshot.arm64.bin
Electron 2697 study_superior  txt       REG               1,14    137016 1152921500312109011 /System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources/SystemAppearance.car
Electron 2697 study_superior  txt       REG               1,14     32768            87602118 /private/var/db/mds/messages/501/se_SecurityMessages
Electron 2697 study_superior  txt       REG               1,14   2213616            70257315 /Users/study_superior/Desktop/Code/LingxiAgent/node_modules/electron/dist/Electron.app/Contents/Frameworks/Electron Framework.framework/Versions/A/Libraries/libffmpeg.dylib
Electron 2697 study_superior  txt       REG               1,14    330112 1152921500312609234 /usr/lib/libobjc-trampolines.dylib
Electron 2697 study_superior  txt       REG               1,14  36103568 1152921500312619766 /usr/share/icu/icudt78l.dat
Electron 2697 study_superior  txt       REG               1,14  10876560            70257164 /Users/study_superior/Desktop/Code/LingxiAgent/node_modules/electron/dist/Electron.app/Contents/Frameworks/Electron Framework.framework/Versions/A/Resources/icudtl.dat
