# R01 阶段修复 R4 — 真实 CLI 负向电池（1 正向 + 28 负向）
# $ bash docs/rust-tauri/R01/r01_t08_gate_cli_regression.sh
PASS C0-cli-positive-control: exit=0 verdict=PASS_WITH_CONDITIONS
PASS-NEG cli-null-field: exit=1 含 'risk-incomplete'
PASS-NEG cli-object-field: exit=1 含 'risk-incomplete'
PASS-NEG cli-array-field: exit=1 含 'risk-incomplete'
PASS-NEG cli-blank-field: exit=1 含 'risk-incomplete'
PASS-NEG cli-number-field: exit=1 含 'risk-incomplete'
PASS-NEG cli-bool-field: exit=1 含 'risk-incomplete'
PASS-NEG cli-placeholder-field: exit=1 含 'risk-incomplete'
PASS-NEG cli-deleted-field: exit=1 含 'risk-incomplete'
PASS-NEG cli-closed-status: exit=1 含 'risk-status-contradiction'
PASS-NEG cli-closed-in-r01-status: exit=1 含 'risk-status-contradiction'
PASS-NEG cli-defect-status-mismatch: exit=1 含 'risk-status-contradiction'
PASS-NEG cli-documented-status-mismatch: exit=1 含 'risk-status-contradiction'
PASS-NEG cli-duplicate-id: exit=1 含 '重复'
PASS-NEG cli-missing-id: exit=1 含 '缺合法 id'
PASS-NEG cli-risks-non-list: exit=1 含 '非列表'
PASS-NEG cli-stage-text-nonexistent: exit=1 含 'risk-stage-unknown'
PASS-NEG cli-stage-both-nonexistent: exit=1 含 'risk-stage-unknown'
PASS-NEG cli-stage-vague-text: exit=1 含 'risk-stage-vague'
PASS-NEG cli-stage-deadline-too-late: exit=1 含 'risk-stage-deadline-mismatch'
PASS-NEG cli-stage-latest-past-gate: exit=1 含 'risk-stage-latest-mismatch'
PASS-NEG cli-stage-field-missing: exit=1 含 'risk-stage-field-missing'
PASS-NEG cli-stage-order-inverted: exit=1 含 'risk-stage-order-inverted'
PASS-NEG cli-stage-text-r099: exit=1 含 'risk-stage-unknown'
PASS-NEG cli-stage-text-mixed-r09-r099: exit=1 含 'risk-stage-unknown'
PASS-NEG cli-stage-text-prefixed-xr09: exit=1 含 'risk-stage-disguised'
PASS-NEG cli-stage-text-suffixed-r09x: exit=1 含 'risk-stage-disguised'
PASS-NEG cli-stage-latest-marker-r099: exit=1 含 'risk-stage-unknown'
PASS-NEG cli-stage-text-r0999: exit=1 含 'risk-stage-unknown'
CLI-REGRESSION OK（1 正向 + 28 负向）
