# R01 阶段修复 R9 — F01 真实 CLI 电池（主仓；8 正向 + 62 负向）
# $ bash docs/rust-tauri/R01/r01_t08_gate_cli_regression.sh
PASS C0-cli-positive-control: exit=0 verdict=PASS_WITH_CONDITIONS
PASS-NEG cli-null-field: exit=1 含 'risk-incomplete'
PASS-NEG cli-object-field: exit=1 含 'risk-incomplete'
PASS-NEG cli-array-field: exit=1 含 'risk-incomplete'
PASS-NEG cli-blank-field: exit=1 含 'risk-incomplete'
PASS-NEG cli-number-field: exit=1 含 'risk-incomplete'
PASS-NEG cli-bool-field: exit=1 含 'risk-incomplete'
PASS-NEG cli-placeholder-field: exit=1 含 'risk-incomplete'
PASS-NEG cli-deleted-field: exit=1 含 'risk-incomplete'
PASS-NEG cli-closed-status: exit=1 含 'risk-status-contradiction'
PASS-NEG cli-closed-in-r01-status: exit=1 含 'risk-status-contradiction'
PASS-NEG cli-defect-status-mismatch: exit=1 含 'risk-status-contradiction'
PASS-NEG cli-documented-status-mismatch: exit=1 含 'risk-status-contradiction'
PASS-NEG cli-duplicate-id: exit=1 含 '重复'
PASS-NEG cli-missing-id: exit=1 含 '缺合法 id'
PASS-NEG cli-risks-non-list: exit=1 含 '非列表'
PASS-NEG cli-stage-text-nonexistent: exit=1 含 'risk-stage-unknown'
PASS-NEG cli-stage-both-nonexistent: exit=1 含 'risk-stage-unknown'
PASS-NEG cli-stage-vague-text: exit=1 含 'risk-stage-vague'
PASS-NEG cli-stage-deadline-too-late: exit=1 含 'risk-stage-deadline-mismatch'
PASS-NEG cli-stage-latest-past-gate: exit=1 含 'risk-stage-latest-mismatch'
PASS-NEG cli-stage-field-missing: exit=1 含 'risk-stage-field-missing'
PASS-NEG cli-stage-order-inverted: exit=1 含 'risk-stage-order-inverted'
PASS-NEG cli-stage-text-r099: exit=1 含 'risk-stage-unknown'
PASS-NEG cli-stage-text-mixed-r09-r099: exit=1 含 'risk-stage-unknown'
PASS-NEG cli-stage-text-prefixed-xr09: exit=1 含 'risk-stage-disguised'
PASS-NEG cli-stage-text-suffixed-r09x: exit=1 含 'risk-stage-disguised'
PASS-NEG cli-stage-latest-marker-r099: exit=1 含 'risk-stage-unknown'
PASS-NEG cli-stage-text-r0999: exit=1 含 'risk-stage-unknown'
PASS-NEG cli-stage-text-dot-substage: exit=1 含 'risk-stage-disguised'
PASS-NEG cli-stage-text-hyphen-substage: exit=1 含 'risk-stage-disguised'
PASS-NEG cli-stage-text-fullwidth-dot-substage: exit=1 含 'risk-stage-disguised'
PASS-NEG cli-stage-text-fullwidth-hyphen-substage: exit=1 含 'risk-stage-disguised'
PASS-NEG cli-stage-text-multi-level-substage: exit=1 含 'risk-stage-disguised'
PASS-NEG cli-stage-text-concat-two-stages: exit=1 含 'risk-stage-disguised'
PASS-NEG cli-stage-latest-marker-dot-substage: exit=1 含 'risk-stage-disguised'
PASS-NEG cli-stage-text-mixed-real-compound: exit=1 含 'risk-stage-disguised'
PASS-NEG cli-stage-text-fullwidth-r99-first: exit=1 含 'risk-stage-unknown'
PASS-NEG cli-stage-text-latest-fullwidth-r10: exit=1 含 'risk-stage-text-mismatch'
PASS-NEG cli-stage-text-fullwidth-r10-first: exit=1 含 'risk-stage-text-mismatch'
PASS-NEG cli-stage-text-fullwidth-r-ascii-digit: exit=1 含 'risk-stage-unknown'
PASS-NEG cli-stage-text-fullwidth-compound-xr09: exit=1 含 'risk-stage-disguised'
PASS-NEG cli-stage-text-lowercase-r99: exit=1 含 'risk-stage-disguised'
PASS-NEG cli-stage-text-fullwidth-lowercase-r99: exit=1 含 'risk-stage-disguised'
PASS-NEG cli-stage-latest-double-conflict: exit=1 含 'risk-stage-text-mismatch'
PASS-NEG cli-stage-latest-double-reversed: exit=1 含 'risk-stage-text-mismatch'
PASS-NEG cli-stage-latest-double-fullwidth-mixed: exit=1 含 'risk-stage-text-mismatch'
PASS-NEG cli-stage-latest-fullwidth-colon-conflict: exit=1 含 'risk-stage-text-mismatch'
PASS-NEG cli-stage-latest-fullwidth-colon-fullwidth-stage: exit=1 含 'risk-stage-text-mismatch'
PASS-NEG cli-stage-latest-yu-conflict: exit=1 含 'risk-stage-text-mismatch'
PASS-NEG cli-stage-latest-single-colon-conflict: exit=1 含 'risk-stage-text-mismatch'
PASS-NEG cli-stage-latest-halfwidth-colon-conflict: exit=1 含 'risk-stage-text-mismatch'
PASS-NEG cli-stage-latest-wei-conflict: exit=1 含 'risk-stage-text-mismatch'
PASS-NEG cli-stage-latest-not-later-than-conflict: exit=1 含 'risk-stage-text-mismatch'
PASS-NEG cli-stage-latest-unresolved-trigger: exit=1 含 'risk-stage-latest-unresolved'
PASS-NEG cli-stage-latest-clause-correction: exit=1 含 'risk-stage-text-mismatch'
PASS-NEG cli-stage-latest-clause-postponed: exit=1 含 'risk-stage-text-mismatch'
PASS-NEG cli-stage-latest-clause-or-choice: exit=1 含 'risk-stage-text-mismatch'
PASS-NEG cli-stage-latest-clause-slash-pair: exit=1 含 'risk-stage-text-mismatch'
PASS-NEG cli-stage-latest-clause-fullwidth-correction: exit=1 含 'risk-stage-text-mismatch'
PASS-NEG cli-stage-latest-clause-fullwidth-slash: exit=1 含 'risk-stage-text-mismatch'
PASS-NEG cli-stage-latest-clause-fullwidth-or: exit=1 含 'risk-stage-text-mismatch'
PASS-NEG cli-stage-latest-clause-latin-or: exit=1 含 'risk-stage-text-mismatch'
PASS cli-stage-text-fullwidth-normalized-positive: exit=0 PASS_WITH_CONDITIONS（全角规范化一致正向）
PASS cli-stage-latest-double-consistent: exit=0 PASS_WITH_CONDITIONS（多处最迟一致放行正向（G6d））
PASS cli-stage-latest-contextual-r10: exit=0 PASS_WITH_CONDITIONS（正常上下文提及 R10 不误伤正向（G6d））
PASS cli-stage-latest-connector-forms-consistent: exit=0 PASS_WITH_CONDITIONS（连接形态一致放行正向（G6d R8））
PASS cli-stage-latest-negative-trigger-consistent: exit=0 PASS_WITH_CONDITIONS（否定连接式一致放行正向（G6d R8））
PASS cli-stage-latest-clause-repeat-consistent: exit=0 PASS_WITH_CONDITIONS（同子句内重复一致放行正向（G6e R9））
PASS cli-stage-latest-quoted-fieldname: exit=0 PASS_WITH_CONDITIONS（引号词名引用不误拒正向（G6e R9））
CLI-REGRESSION OK（8 正向 + 62 负向）
# exit=0
