[t04-proxy] listening http://127.0.0.1:18282
[t04-proxy] HTTP GET http://example.com/
[t04-proxy] REFUSED non-loopback http://example.com/
[t04-proxy] HTTP GET http://127.0.0.1:18281/form
[t04-proxy] HTTP GET http://clients2.google.com/time/1/current?cup2key=10:P3zceoVMYZU4dMOvDz-AiKGHAJFnOuEirHo-sSMnu7I&cup2hreq=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
[t04-proxy] REFUSED non-loopback http://clients2.google.com/time/1/current?cup2key=10:P3zceoVMYZU4dMOvDz-AiKGHAJFnOuEirHo-sSMnu7I&cup2hreq=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
[t04-proxy] REFUSED CONNECT www.gstatic.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT accounts.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT update.googleapis.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] HTTP GET http://127.0.0.1:18281/form
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT content-autofill.googleapis.com:443
[t04-proxy] REFUSED CONNECT content-autofill.googleapis.com:443
[t04-proxy] HTTP GET http://127.0.0.1:18281/favicon.ico
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
