[t04-proxy] listening http://127.0.0.1:18482
[t04-proxy] HTTP GET http://example.com/
[t04-proxy] REFUSED non-loopback http://example.com/
[t04-proxy] HTTP GET http://clients2.google.com/time/1/current?cup2key=10:MJCq-QnPw5fXLnyLKL4afpH4ElUX0odHPgbt4xrFO_Y&cup2hreq=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
[t04-proxy] REFUSED non-loopback http://clients2.google.com/time/1/current?cup2key=10:MJCq-QnPw5fXLnyLKL4afpH4ElUX0odHPgbt4xrFO_Y&cup2hreq=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
[t04-proxy] REFUSED CONNECT www.gstatic.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT accounts.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT update.googleapis.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] HTTP GET http://clients2.google.com/time/1/current?cup2key=10:Xr9NydTij_d_zZ-hRlcdud4nSAFTMX0a1oAgJAHH524&cup2hreq=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
[t04-proxy] REFUSED non-loopback http://clients2.google.com/time/1/current?cup2key=10:Xr9NydTij_d_zZ-hRlcdud4nSAFTMX0a1oAgJAHH524&cup2hreq=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
[t04-proxy] REFUSED CONNECT www.gstatic.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT accounts.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT update.googleapis.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] HTTP GET http://clients2.google.com/time/1/current?cup2key=10:e35MECiJUFObViDVMvu0FZpWrjQug0METXCL1wb2D8s&cup2hreq=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
[t04-proxy] REFUSED non-loopback http://clients2.google.com/time/1/current?cup2key=10:e35MECiJUFObViDVMvu0FZpWrjQug0METXCL1wb2D8s&cup2hreq=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
[t04-proxy] REFUSED CONNECT www.gstatic.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT accounts.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT update.googleapis.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] HTTP GET http://clients2.google.com/time/1/current?cup2key=10:O73jMB2yF9FHrAu2EDxwG-WK-CcEhdEuHofwd1DN_Uc&cup2hreq=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
[t04-proxy] REFUSED non-loopback http://clients2.google.com/time/1/current?cup2key=10:O73jMB2yF9FHrAu2EDxwG-WK-CcEhdEuHofwd1DN_Uc&cup2hreq=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
[t04-proxy] REFUSED CONNECT www.gstatic.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT accounts.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT update.googleapis.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
