[t04-proxy] listening http://127.0.0.1:18482
[t04-proxy] HTTP GET http://example.com/
[t04-proxy] REFUSED non-loopback http://example.com/
[t04-proxy] HTTP GET http://clients2.google.com/time/1/current?cup2key=10:ILVRe6m8sYS_flD0N9FuO0hZ9HajgeSxI5w6hNgtUH4&cup2hreq=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
[t04-proxy] REFUSED non-loopback http://clients2.google.com/time/1/current?cup2key=10:ILVRe6m8sYS_flD0N9FuO0hZ9HajgeSxI5w6hNgtUH4&cup2hreq=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
[t04-proxy] REFUSED CONNECT www.gstatic.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT accounts.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT update.googleapis.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] HTTP GET http://clients2.google.com/time/1/current?cup2key=10:5xDSwV3uyoVhry0ofUQxmIwUTApqcda6KLx5VR52b80&cup2hreq=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
[t04-proxy] REFUSED non-loopback http://clients2.google.com/time/1/current?cup2key=10:5xDSwV3uyoVhry0ofUQxmIwUTApqcda6KLx5VR52b80&cup2hreq=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
[t04-proxy] REFUSED CONNECT www.gstatic.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT accounts.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT update.googleapis.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] HTTP GET http://clients2.google.com/time/1/current?cup2key=10:rp9CsHbpL6IlKxN6P6TcIYoJ5GMQZD2RtZf20dUjCgM&cup2hreq=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
[t04-proxy] REFUSED non-loopback http://clients2.google.com/time/1/current?cup2key=10:rp9CsHbpL6IlKxN6P6TcIYoJ5GMQZD2RtZf20dUjCgM&cup2hreq=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
[t04-proxy] REFUSED CONNECT www.gstatic.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT accounts.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT update.googleapis.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] HTTP GET http://clients2.google.com/time/1/current?cup2key=10:aj9tpKjaUSRHWD5l3bxIswnhraxhZ6jUJeQcBblx1Wo&cup2hreq=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
[t04-proxy] REFUSED non-loopback http://clients2.google.com/time/1/current?cup2key=10:aj9tpKjaUSRHWD5l3bxIswnhraxhZ6jUJeQcBblx1Wo&cup2hreq=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
[t04-proxy] REFUSED CONNECT www.gstatic.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT accounts.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT update.googleapis.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
[t04-proxy] REFUSED CONNECT www.google.com:443
